,Date,Daily Mean PM2.5 Concentration,SITE_LATITUDE,SITE_LONGITUDE
197,07/18/2021,41.4,44.78822,-117.8446
562,07/18/2021,2.4,44.5884,-123.2673
914,07/18/2021,2.6,45.25928,-122.588151
1141,07/18/2021,2.0,45.28845,-121.782775
1378,07/18/2021,3.2,45.768531,-122.7721
1599,07/18/2021,6.9,44.299787,-120.844773
1850,07/18/2021,4.5,44.299787,-120.844773
2215,07/18/2021,5.2,44.2921,-121.5555
2575,07/18/2021,6.5,44.063916,-121.312554
2940,07/18/2021,2.7,43.2266,-123.36479
3305,07/18/2021,9.8,44.418,-118.9513
3662,07/18/2021,14.7,43.58925,-119.04872
4063,07/18/2021,15.0,43.58925,-119.04872
4428,07/18/2021,6.1,42.623225,-122.810158
4793,07/18/2021,5.3,42.229891,-122.7877
5158,07/18/2021,6.0,42.1941,-122.7086
5397,07/18/2021,6.4,42.33155,-122.880266
5638,07/18/2021,5.5,42.33155,-122.880266
6003,07/18/2021,4.4,44.63062,-121.13165
6236,07/18/2021,3.9,42.104278,-123.681083
6579,07/18/2021,3.9,42.1617,-123.64835
7002,07/18/2021,4.3,42.434139,-123.348466
7347,07/18/2021,10.3,42.190296,-121.731369
7770,07/18/2021,11.5,42.190296,-121.731369
8004,07/18/2021,9.4,42.9107711613949,-122.146241466888
8145,07/18/2021,8.2,42.909851128,-122.140861111
8262,07/18/2021,10.8,42.189215,-120.353969
8514,07/18/2021,10.5,42.189215,-120.353969
8874,07/18/2021,3.5,44.0672238,-123.1413524
9239,07/18/2021,2.8,44.0672238,-123.1413524
9470,07/18/2021,2.9,44.026312,-123.083737
9751,07/18/2021,2.7,44.026312,-123.083737
9981,07/18/2021,3.8,44.1998197422271,-122.044546800759
10231,07/18/2021,3.1,43.989644,-124.109192
10594,07/18/2021,2.6,44.1158,-123.1211
10959,07/18/2021,3.0,44.046696,-123.017704
11317,07/18/2021,3.8,43.744352,-122.480487
11737,07/18/2021,3.6,43.744352,-122.480487
12092,07/18/2021,2.5,43.799501,-123.053487
12456,07/18/2021,2.7,43.799501,-123.053487
12821,07/18/2021,2.6,44.61569,-123.091457
13164,07/18/2021,3.1,44.752092,-122.479672
13516,07/18/2021,2.5,44.3958,-122.7305
13877,07/18/2021,2.9,44.778743,-122.617048
14236,07/18/2021,3.0,44.81029,-122.915085
14599,07/18/2021,3.0,45.014998,-122.790382
14961,07/18/2021,3.0,44.943114,-123.005934
15193,07/18/2021,3.6,45.496641,-122.602877
