,level_0,Unnamed: 0,index,Date,value,lat,lon,lat_round,lon_round,row,col
0,0,0,0,07/18/2021,41.4,44.78822,-117.8446,44.8,-117.8,21,40
1,1,1,3,07/18/2021,2.0,45.28845,-121.782775,45.3,-121.8,16,0
2,2,2,5,07/18/2021,6.9,44.299787,-120.844773,44.3,-120.8,26,10
3,4,4,7,07/18/2021,5.2,44.2921,-121.5555,44.3,-121.6,26,2
4,5,5,8,07/18/2021,6.5,44.063916,-121.312554,44.1,-121.3,28,5
5,6,6,10,07/18/2021,9.8,44.418,-118.9513,44.4,-119.0,25,28
6,8,8,12,07/18/2021,15.0,43.58925,-119.04872,43.6,-119.0,33,28
7,9,9,18,07/18/2021,4.4,44.63062,-121.13165,44.6,-121.1,23,7
8,10,10,50,07/18/2021,5.5,45.652231,-118.823033,45.7,-118.8,12,30
9,11,11,51,07/18/2021,5.0,45.828968,-119.262991,45.8,-119.3,11,25
10,12,12,52,07/18/2021,7.1,45.2247483106115,-118.513961995977,45.2,-118.5,17,33
11,13,13,53,07/18/2021,33.6,45.300884,-117.812896,45.3,-117.8,16,40
12,14,14,54,07/18/2021,15.4,45.3235,-118.0778,45.3,-118.1,16,37
13,15,15,55,07/18/2021,57.5,45.426351,-117.296066,45.4,-117.3,15,45
14,16,16,57,07/18/2021,3.1,45.602419,-121.203387,45.6,-121.2,13,6
15,17,17,67,07/18/2021,4.8,46.21835,-119.204153,46.2,-119.2,7,26
16,18,18,78,07/18/2021,11.6,46.318,-117.985,46.3,-118.0,6,38
17,19,19,80,07/18/2021,5.0,46.5754,-119.0021,46.6,-119.0,3,28
18,20,20,81,07/18/2021,19.8,46.4744380009419,-117.614764,46.5,-117.6,4,42
19,21,21,102,07/18/2021,2.9,45.666204,-121.000708,45.7,-121.0,12,8
20,22,22,104,07/18/2021,1.7,46.624183962,-121.388063592,46.6,-121.4,3,4
21,23,23,126,07/18/2021,7.9,46.05881,-118.35147,46.1,-118.4,8,34
22,24,24,130,07/18/2021,11.5,46.8153,-117.8739,46.8,-117.9,1,39
23,25,25,132,07/18/2021,4.9,46.319320471,-119.999677425,46.3,-120.0,6,18
24,26,26,133,07/18/2021,3.8,46.598056,-120.499167,46.6,-120.5,3,13
25,27,27,134,07/18/2021,1.7,46.38024,-120.33266,46.4,-120.3,5,15
26,28,28,135,07/18/2021,3.6,46.375430000942,-120.72932,46.4,-120.7,5,11
